experiment,seed,client,metric,value,attack,aggregator,heterogeneity,ablation
E6,101,,macro_f1,0.0,macro,,,no_temporal_lag
E6,101,,f1,0.7578947368421052,gaussian_noise,,,missing_voltage
E6,101,,f1,0.054945054945054944,bias_injection,,,missing_voltage
E6,101,,f1,0.08648648648648649,desynchronize_current,,,missing_voltage
E6,101,,macro_f1,0.29977542609121555,macro,,,missing_voltage
E6,101,,f1,0.837962962962963,gaussian_noise,,,missing_current
E6,101,,f1,0.003976143141153081,bias_injection,,,missing_current
E6,101,,f1,0.0,desynchronize_current,,,missing_current
E6,101,,macro_f1,0.28064636870137205,macro,,,missing_current
E6,101,,f1,0.57991513437058,gaussian_noise,,,single_modal_ar
E6,101,,f1,0.003976143141153081,bias_injection,,,single_modal_ar
E6,101,,f1,0.0,desynchronize_current,,,single_modal_ar
E6,101,,macro_f1,0.19463042583724435,macro,,,single_modal_ar
E7,101,,verify_time_s,0.00018960004672408104,,,,
E7,101,,train_time_s,0.05136130005121231,,,,
E7,101,,verification_to_local_training_time_ratio,0.003691496253697453,,,,
E7,101,,peak_mem_verify_bytes,97680.0,,,,
E7,101,,peak_mem_train_bytes,80866.0,,,,
E1,202,0.0,fpr,0.0940940940940941,,,,
E1,202,1.0,fpr,0.3563563563563564,,,,
E1,202,2.0,fpr,0.001001001001001001,,,,
E1,202,3.0,fpr,0.998998998998999,,,,
E1,202,4.0,fpr,0.037037037037037035,,,,
E1,202,5.0,fpr,0.4984984984984985,,,,
E1,202,6.0,fpr,0.028028028028028028,,,,
E1,202,7.0,fpr,0.4934934934934935,,,,
E1,202,8.0,fpr,0.001001001001001001,,,,
E1,202,9.0,fpr,0.2032032032032032,,,,
E2,202,0.0,f1,0.01075268817204301,gaussian_noise,,,
E2,202,0.0,precision,0.05357142857142857,gaussian_noise,,,
E2,202,0.0,recall,0.00597609561752988,gaussian_noise,,,
E2,202,0.0,fpr,0.106,gaussian_noise,,,
E2,202,0.0,f1,0.00718132854578097,bias_injection,,,
E2,202,0.0,precision,0.03636363636363636,bias_injection,,,
E2,202,0.0,recall,0.00398406374501992,bias_injection,,,
E2,202,0.0,fpr,0.106,bias_injection,,,
E2,202,0.0,f1,0.0035971223021582736,desynchronize_current,,,
E2,202,0.0,precision,0.018518518518518517,desynchronize_current,,,
E2,202,0.0,recall,0.00199203187250996,desynchronize_current,,,
E2,202,0.0,fpr,0.106,desynchronize_current,,,
E2,202,1.0,f1,0.6658905704307334,gaussian_noise,,,
E2,202,1.0,precision,0.8011204481792717,gaussian_noise,,,
E2,202,1.0,recall,0.5697211155378487,gaussian_noise,,,
E2,202,1.0,fpr,0.142,gaussian_noise,,,
E2,202,1.0,f1,0.0707070707070707,bias_injection,,,
E2,202,1.0,precision,0.22826086956521738,bias_injection,,,
E2,202,1.0,recall,0.04183266932270916,bias_injection,,,
E2,202,1.0,fpr,0.142,bias_injection,,,
E2,202,1.0,f1,0.12438625204582653,desynchronize_current,,,
E2,202,1.0,precision,0.3486238532110092,desynchronize_current,,,
E2,202,1.0,recall,0.07569721115537849,desynchronize_current,,,
E2,202,1.0,fpr,0.142,desynchronize_current,,,
E2,202,2.0,f1,0.6208791208791209,gaussian_noise,,,
E2,202,2.0,precision,1.0,gaussian_noise,,,
E2,202,2.0,recall,0.450199203187251,gaussian_noise,,,
E2,202,2.0,fpr,0.0,gaussian_noise,,,
E2,202,2.0,f1,0.003976143141153081,bias_injection,,,
E2,202,2.0,precision,1.0,bias_injection,,,
E2,202,2.0,recall,0.00199203187250996,bias_injection,,,
E2,202,2.0,fpr,0.0,bias_injection,,,
E2,202,2.0,f1,0.0,desynchronize_current,,,
E2,202,2.0,precision,0.0,desynchronize_current,,,
E2,202,2.0,recall,0.0,desynchronize_current,,,
E2,202,2.0,fpr,0.0,desynchronize_current,,,
E2,202,3.0,f1,0.7955801104972376,gaussian_noise,,,
E2,202,3.0,precision,0.8933002481389578,gaussian_noise,,,
E2,202,3.0,recall,0.7171314741035857,gaussian_noise,,,
E2,202,3.0,fpr,0.086,gaussian_noise,,,
E2,202,3.0,f1,0.003663003663003663,bias_injection,,,
E2,202,3.0,precision,0.022727272727272728,bias_injection,,,
E2,202,3.0,recall,0.00199203187250996,bias_injection,,,
E2,202,3.0,fpr,0.086,bias_injection,,,
E2,202,3.0,f1,0.0,desynchronize_current,,,
E2,202,3.0,precision,0.0,desynchronize_current,,,
E2,202,3.0,recall,0.0,desynchronize_current,,,
E2,202,3.0,fpr,0.086,desynchronize_current,,,
E2,202,4.0,f1,0.44879518072289154,gaussian_noise,,,
E2,202,4.0,precision,0.9197530864197531,gaussian_noise,,,
E2,202,4.0,recall,0.2968127490039841,gaussian_noise,,,
E2,202,4.0,fpr,0.026,gaussian_noise,,,
E2,202,4.0,f1,0.0,bias_injection,,,
E2,202,4.0,precision,0.0,bias_injection,,,
E2,202,4.0,recall,0.0,bias_injection,,,
E2,202,4.0,fpr,0.026,bias_injection,,,
E2,202,4.0,f1,0.0,desynchronize_current,,,
E2,202,4.0,precision,0.0,desynchronize_current,,,
E2,202,4.0,recall,0.0,desynchronize_current,,,
E2,202,4.0,fpr,0.026,desynchronize_current,,,
E2,202,5.0,f1,0.5033607169529499,gaussian_noise,,,
E2,202,5.0,precision,0.4026284348864994,gaussian_noise,,,
E2,202,5.0,recall,0.6713147410358565,gaussian_noise,,,
E2,202,5.0,fpr,1.0,gaussian_noise,,,
E2,202,5.0,f1,0.3383084577114428,bias_injection,,,
E2,202,5.0,precision,0.2897727272727273,bias_injection,,,
E2,202,5.0,recall,0.4063745019920319,bias_injection,,,
E2,202,5.0,fpr,1.0,bias_injection,,,
E2,202,5.0,f1,0.33277870216306155,desynchronize_current,,,
E2,202,5.0,precision,0.2857142857142857,desynchronize_current,,,
E2,202,5.0,recall,0.398406374501992,desynchronize_current,,,
E2,202,5.0,fpr,1.0,desynchronize_current,,,
E2,202,6.0,f1,0.967032967032967,gaussian_noise,,,
E2,202,6.0,precision,0.969939879759519,gaussian_noise,,,
E2,202,6.0,recall,0.9641434262948207,gaussian_noise,,,
E2,202,6.0,fpr,0.03,gaussian_noise,,,
E2,202,6.0,f1,0.9711442786069652,bias_injection,,,
E2,202,6.0,precision,0.9701789264413518,bias_injection,,,
E2,202,6.0,recall,0.9721115537848606,bias_injection,,,
E2,202,6.0,fpr,0.03,bias_injection,,,
E2,202,6.0,f1,0.9690927218344966,desynchronize_current,,,
E2,202,6.0,precision,0.9700598802395209,desynchronize_current,,,
E2,202,6.0,recall,0.9681274900398407,desynchronize_current,,,
E2,202,6.0,fpr,0.03,desynchronize_current,,,
E2,202,7.0,f1,0.6209850107066381,gaussian_noise,,,
E2,202,7.0,precision,0.6712962962962963,gaussian_noise,,,
E2,202,7.0,recall,0.5776892430278885,gaussian_noise,,,
E2,202,7.0,fpr,0.284,gaussian_noise,,,
E2,202,7.0,f1,0.08333333333333333,bias_injection,,,
E2,202,7.0,precision,0.16470588235294117,bias_injection,,,
E2,202,7.0,recall,0.055776892430278883,bias_injection,,,
E2,202,7.0,fpr,0.284,bias_injection,,,
E2,202,7.0,f1,0.0,desynchronize_current,,,
E2,202,7.0,precision,0.0,desynchronize_current,,,
E2,202,7.0,recall,0.0,desynchronize_current,,,
E2,202,7.0,fpr,0.284,desynchronize_current,,,
E2,202,8.0,f1,0.5938375350140056,gaussian_noise,,,
